"name","counties","archiveyear"
"French Fire","Madera","2014"
"Day Fire","Modoc","2014"
"Bully Fire","Shasta","2014"
"Lodge Lightning Complex","Mendocino","2014"
"Monticello Fire","Yolo","2014"
"Coffee Fire","Shasta","2014"
"Little Deer Fire","Siskiyou","2014"
"Tomahawk Fire","San Diego","2014"
"Stoney Fire","Monterey","2014"
"Meadow Fire","Mariposa","2014"
"El Portal Fire","Mariposa","2014"
"Butts Fire","Napa","2014"
"Butts Fire","Lake","2014"
"Cedar Fire","Kern","2016"
"Sand Fire","Amador","2014"
"Sand Fire","El Dorado","2014"
"Way Fire","Kern","2014"
"Shirley Fire","Kern","2014"
"Etiwanda Fire","San Bernardino","2014"
"Cocos Fire","San Diego","2014"
"Colby Fire","Los Angeles","2014"
"Nicolls Fire ","Kern","2014"
"Modoc Lightning Complex","Modoc","2014"
"Bernardo Fire","San Diego","2014"
"Gulch Fire","Modoc","2014"
"San Mateo Fire","San Diego","2014"
"Gulch Fire","Shasta","2014"
"Dark Hole Fire","Mariposa","2014"
"Silverado Fire","Orange","2014"
"Campbell Fire","Tehama","2014"
"Hunters Fire","Mariposa","2014"
"Miguelito Fire","Santa Barbara","2014"
"Junction Fire","Madera","2014"
"Poinsettia Fire","San Diego","2014"
"Oregon Fire","Trinity","2014"
"Boles Fire","Siskiyou","2014"
"59 Fire","Tuolumne","2014"
"Applegate Fire","Placer","2014"
"Black Fire","Mendocino","2014"
"Encinal Fire","Monterey","2014"
"Web Fire","Butte","2014"
"Highway Fire","San Diego","2014"
"Pierce Fire","Riverside","2014"
"Red Fire","Humboldt","2014"
"Courtney Fire","Madera","2014"
"Dog Rock Fire","Mariposa","2014"
"Bridge Fire","Mariposa","2014"
"Gun Club Fire","Merced","2014"
"Tecolote Fire","Los Angeles","2014"
"Hetch Hetchy Fire","Tuolumne","2014"
"Dog Bar Fire","Nevada","2014"
"Tehama Fire","Tehama","2014"
"Banner Fire","San Diego","2014"
"Bald Hill 3 Fire","Humboldt","2014"
"Shoemaker Fire","Los Angeles","2014"
"Indian Fire","Lake","2014"
"Dry Fire","Shasta","2014"
"Haigh Fire","Mariposa","2014"
"Curie Fire","Santa Clara","2014"
"Gun Fire","San Diego","2014"
"Reed Fire","Calaveras","2014"
"Brewer Fire","Placer","2014"
"Bridges Fire","Inyo","2014"
"Lake Fire","Fresno","2014"
"River Fire","San Diego","2014"
"Little Fire","Modoc","2014"
"Saratoga Fire","Lake","2014"
"Interstate Fire","Riverside","2014"
"Irene Fire","El Dorado","2014"
"Valley Fire","Mariposa","2014"
"Oak Fire","Calaveras","2014"
"Boca Fire","Nevada","2014"
"Casa Fire","Santa Clara","2014"
"Marsh Fire","Contra Costa","2014"
"Montgomery Fire","Mariposa","2014"
"Sabina Fire","Riverside","2014"
"Cassel Fire","Shasta","2014"
"San Lucas Fire","Monterey","2014"
"Wildlife Fire","Butte","2014"
"Jackson Fire","Tuolumne","2014"
"Ranch Fire","Kern","2014"
"Norman Fire","Solano","2014"
"June Fire","Inyo","2014"
"Nelson Fire","Mendocino","2014"
"Honcut Fire","Butte","2014"
"Van Buren Fire","Riverside","2014"
"Freeway Fire ","San Diego","2014"
"Fiddler Fire","Shasta","2014"
"Bane Fire","San Bernardino","2014"
"Interlake Fire","San Luis Obispo","2014"
"Morgan Fire","Fresno","2014"
"Hutto Fire","Nevada","2014"
"McClellan Fire","Humboldt","2014"
"Lake Fire","Stanislaus","2014"
"Bogart Fire","Riverside","2014"
"Siskiyou County Lightning Fires","Siskiyou","2014"
"Bible Fire","El Dorado","2014"
"Jacumba Fire","San Diego","2014"
"Stage Coach Fire","Napa","2014"
"Foothill Fire ","Ventura","2014"
"Leopard Fire","Shasta","2014"
"Hall Fire","Fresno","2014"
"Cascade Fire","El Dorado","2014"
"Border Fire","San Diego","2014"
"Bridge Fire","Humboldt","2014"
"West Fire","Trinity","2014"
"Iowa Fire","Placer","2014"
"Santa Fire","Riverside","2014"
"Pines Fire","Madera","2014"
"South Napa Earthquake","Napa","2014"
"Happy Camp Complex","Siskiyou","2014"
"Rough Fire ","Fresno","2015"
"River Complex","Trinity","2015"
"Rocky Fire","Lake","2015"
"Fork Complex","Trinity","2015"
"Lake Fire","San Bernardino","2015"
"Gasquet Complex","Del Norte","2015"
"South Complex","Trinity","2015"
"Jerusalem Fire","Lake","2015"
"Jerusalem Fire","Napa","2015"
"Dodge Fire","Lassen","2015"
"Nickowitz Fire","Del Norte","2015"
"Round Fire","Inyo","2015"
"Round Fire","Mono","2015"
"Cabin Fire","Tulare","2015"
"Willow Fire","Madera","2015"
"Humboldt Lightning Fires","Humboldt","2015"
"Frog Fire","Modoc","2015"
"North Fire","San Bernardino","2015"
"Walker Fire","Mono","2015"
"Tesla Fire","Alameda","2015"
"Cuesta Fire","San Luis Obispo","2015"
"Lowell Fire","Nevada","2015"
"Horno Fire","San Diego","2015"
"Park Hill Fire","San Luis Obispo","2015"
"Saddle Fire ","Trinity","2015"
"Creek Fire","Merced","2015"
"McCabe Fire","Merced","2015"
"Tassajara Fire","Monterey","2015"
"Highway Fire","Riverside","2015"
"Lumpkin Fire","Butte","2015"
"Corrine Fire","Madera","2015"
"Meridian Fire","Butte","2015"
"Elk Fire","Lake","2015"
"Cienega Fire","San Benito","2015"
"Anza Fire","Riverside","2015"
"Van Dyke Fire","Mono","2015"
"Sky Fire","Madera","2015"
"Triple Fire","Tulare","2015"
"Tenaya Fire","Mariposa","2015"
"Calgrove Fire ","Los Angeles","2015"
"Swedes Fire","Butte","2015"
"Lincoln Fire","Los Angeles","2015"
"Ione Fire","Amador","2015"
"Warm Fire","Los Angeles","2015"
"Site Fire","Alameda","2015"
"Chorro Fire","Ventura","2015"
"Forebay Fire","Merced","2015"
"Christensen Fire","Alameda","2015"
"Mendocino National Forest Lightning Complex","Mendocino","2015"
"Pacheco Fire","Santa Clara","2015"
"Peterson Fire","Lake","2015"
"241 Fire","Orange","2015"
"China Fire","Shasta","2015"
"Mesa Fire","Santa Barbara","2015"
"Big Creek Fire","Tuolumne","2015"
"Pines Fire ","Los Angeles","2015"
"Stephens Fire","Siskiyou","2015"
"Vasco Fire","Contra Costa","2015"
"Rustic Fire","Ventura","2015"
"Cooley Fire","Siskiyou","2015"
"Wildcat Fire","San Diego","2015"
"Creek Fire","Fresno","2015"
"Black Fire","Tehama","2015"
"Flat Fire ","Kern","2015"
"Cutca Fire","San Diego","2015"
"River Fire","Ventura","2015"
"Queen Fire","Humboldt","2015"
"Cook Fire","Yuba","2015"
"Sky Fire","Solano","2015"
"Merwin Fire","Riverside","2015"
"Horse Fire","Humboldt","2015"
"Ward Fire","Plumas","2015"
"Red Fire","Madera","2015"
"Democrat Fire","Trinity","2015"
"Collier Fire","San Joaquin","2015"
"3-11 Fire","Modoc","2015"
"Mark Fire","Calaveras","2015"
"Tulloch Fire","Tuolumne","2015"
"Shinn Fire","Lassen","2015"
"Apple Fire","Sacramento","2015"
"36 Fire","Tehama","2015"
"Riosa Fire","Placer","2015"
"Walker Fire","Shasta","2015"
"Oak Fire","Tuolumne","2015"
"Munjar Fire","Butte","2015"
"Sterling Fire","San Bernardino","2015"
"Laureles Fire","Monterey","2015"
"Deer Fire","San Luis Obispo","2015"
"Sprig Fire","Shasta","2015"
"Advance Fire","Tulare","2015"
"Otay Fire","San Diego","2015"
"Harrison Fire","Riverside","2015"
"3-12 Fire","Modoc","2015"
"Fern Fire","Shasta","2015"
"Mallard Fire","Shasta","2015"
"Kyburz Fire","El Dorado","2015"
"Webb Fire","Butte","2015"
"Olive Fire","Butte","2015"
"Prairie Fire","Siskiyou","2015"
"Pass Fire","Kern","2015"
"Scales Fire","San Bernardino","2015"
"Kerkhoff Fire","Fresno","2015"
"Dixie Fire","Lassen","2015"
"Grapefruit Fire","Riverside","2015"
"Triangle Fire","Mariposa","2015"
"North Fire","Amador","2015"
"Point Fire","Shasta","2015"
"Military Fire","Siskiyou","2015"
"Summit Fire","San Bernardino","2015"
"De Luz Fire","San Diego","2015"
"Fork Fire","Tehama","2015"
"Mill 2 Fire","San Bernardino","2015"
"Tesla Fire","Alameda","2015"
"White Fire","Santa Barbara","2015"
"Potrero Fire","Ventura","2015"
"Mendocino Lightning Fires","Mendocino","2015"
"Antelope Fire","Kern","2015"
"Geary Fire","Alameda","2015"
"FKU Lightning Fires","Fresno","2015"
"Mason Fire ","Modoc","2015"
"Highway Fire","Santa Clara","2015"
"Center Fire","Lassen","2015"
"Sullivan Fire","Stanislaus","2015"
"Ascot Fire","Solano","2015"
"Chiles Fire","Napa","2015"
"Garage Fire","Napa","2015"
"Browns Fire","Trinity","2015"
"Ranch Fire","El Dorado","2015"
"Covelo Fire","Mendocino","2015"
"McCourtney Fire","Nevada","2015"
"Kramer Fire ","Lassen","2015"
"Francis Fire","Yuba","2015"
"Banister Fire","Ventura","2015"
"Baxter Fire","Placer","2015"
"Park Fire","San Diego","2015"
"Betabel Fire","San Benito","2015"
"Lake Fire","San Diego","2015"
"Buckaroo Fire","El Dorado","2015"
"Fox Fire","Mariposa","2015"
"Oasis Fire","Lake","2015"
"Snow Fire","Riverside","2015"
"Dorris Fire","Siskiyou","2015"
"Soda Fire","Mendocino","2015"
"Grade Fire","Lake","2015"
"Gibraltar Fire","Santa Barbara","2015"
"Spider Fire","Riverside","2015"
"Bald Fire","Humboldt","2015"
"Pleasure Fire","Napa","2015"
"Keswick Fire","Shasta","2015"
"Buck Fire","Humboldt","2015"
"Mad River Complex","Trinity","2015"
"Washington Fire","Alpine","2015"
"Soberanes Fire","Monterey","2016"
"Erskine Fire","Kern","2016"
"Chimney Fire","San Luis Obispo","2016"
"Blue Cut Fire","San Bernardino","2016"
"Gap Fire","Siskiyou","2016"
"Rey Fire ","Santa Barbara","2016"
"Canyon Fire","Santa Barbara","2016"
"Pilot Fire","San Bernardino","2016"
"Border Fire","San Diego","2016"
"Sherpa Fire","Santa Barbara","2016"
"Mineral Fire","Fresno","2016"
"Cold Fire","Yolo","2016"
"Trailhead Fire","El Dorado","2016"
"Extension Fire","Riverside","2017"
"Wilson Fire","Los Angeles","2017"
"Trailhead Fire","Placer","2016"
"Owens River Fire","Inyo","2016"
"San Gabriel Complex (Formerly Fish & Reservoir Fires)","Los Angeles","2016"
"Marek Fire","Los Angeles","2016"
