"name","counties","archiveyear"
"Liberty Fire","Riverside","2017"
"Bravo Fire","Kern","2017"
"Little Mountain Fire","San Bernardino","2017"
"Lost Fire","San Diego","2017"
"Huasna Fire","San Luis Obispo","2017"
"Murphy Fire","Fresno","2017"
"Largo Fire","El Dorado","2017"
"Deer Complex","Contra Costa","2017"
"Spring Fire","Mariposa","2017"
"Camp Fire","San Luis Obispo","2017"
"Arrow Fire","San Luis Obispo","2017"
"Bodfish Fire","Kern","2017"
"Eagle Fire","Riverside","2017"
"Skeleton Fire","Lake","2017"
"Range Fire","Alameda","2017"
"Eclipse Fire","San Diego","2017"
"Rose Fire","Riverside","2017"
"Tehama Fire","Tehama","2017"
"Wasioja Fire","Santa Barbara","2017"
"Toll Fire","Plumas","2017"
"Wild Fire","Fresno","2017"
"Rolling Fire","Kern","2017"
"Quarry Fire","Kern","2017"
"Laverne Fire","Shasta","2017"
"High Fire","San Bernardino","2017"
"Hills Fire","Riverside","2017"
"Evans Fire","Sierra","2017"
"Honcut Fire","Butte","2017"
"Peg Fire","Lassen","2017"
"26 Fire","Madera","2017"
"Corral Fire","Alameda","2017"
"Hill Fire","Siskiyou","2017"
"Smiley Fire","Riverside","2017"
"Honey Fire","Butte","2017"
"Olive Fire","San Luis Obispo","2017"
"Lucy Fire","San Luis Obispo","2017"
"41 Fire","Madera","2017"
"Tower Fire","San Bernardino","2017"
"River Fire","Trinity","2017"
"Grape Fire","Mendocino","2017"
"Soda Fire","Butte","2017"
"Ranch Fire","El Dorado","2017"
"French Fire","El Dorado","2017"
"Gorman Fire","Los Angeles","2017"
"King Fire","Tulare","2017"
"Skyway Fire","Butte","2017"
"Point Fire","Calaveras","2017"
"Border Fire","San Diego","2017"
"Olive Fire","San Luis Obispo","2017"
"Oak Fire","Shasta","2017"
"Tumey Fire","Fresno","2017"
"Coronado Fire","Mariposa","2017"
"Twist Fire","Tuolumne","2017"
"Stewart Fire","Riverside","2017"
"Margarita Fire","San Luis Obispo","2017"
"Lamb Fire","Riverside","2017"
"Maria Fire","Calaveras","2017"
"Fallon Fire","Alameda","2017"
"Canyon Fire","Napa","2017"
"Flat Fire","Fresno","2017"
"Lone Fire","Butte","2017"
"Poly Fire","San Luis Obispo","2017"
"Canyon Fire","Riverside","2017"
"Humboldt Fire","Butte","2017"
"Coalinga Fire","Fresno","2017"
"Lariat Fire","Santa Clara","2017"
"Church Fire","San Diego","2017"
"Oakmont Fire (Central LNU Complex)","Sonoma","2017"
"Long Fire","Lake","2017"
"Timm Fire","Solano","2017"
"Bally Fire","Santa Clara","2017"
"Parkfield Fire","Fresno","2017"
"Tilton Fire","Santa Clara","2017"
"Mile Fire","San Bernardino","2017"
"Oak Fire","San Bernardino","2017"
"Reed Fire","Riverside","2017"
"Auberry Fire","Fresno","2017"
"Wilbur Fire","Butte","2017"
"Daulton Fire","Madera","2017"
"Ridge Fire","Lake","2017"
"Vista Fire","Ventura","2017"
"Marlborough Fire","Riverside","2017"
"Saw Fire","Humboldt","2017"
"Dollar Fire","San Bernardino","2017"
"Ranch Fire","Santa Clara","2017"
"Country Fire","Monterey","2017"
"Loma Fire","San Diego","2017"
"Holiday Fire","El Dorado","2017"
"Mills File","Plumas","2017"
"Fountain Fire ","Tulare","2017"
"Castro Fire","Santa Clara","2017"
"Spring Fire ","Tehama","2017"
"McCourtney Fire (Wind Complex)","Nevada","2017"
"Tivy Fire","Fresno","2017"
"Linne Fire","San Luis Obispo","2017"
"Axel Fire","El Dorado","2017"
"Bryant Fire","San Bernardino","2017"
"Lynch Fire","San Luis Obispo","2017"
"Ellis Fire","Riverside","2017"
"Camatta Fire","San Luis Obispo","2017"
"Sand Fire","Colusa","2017"
"Felipe Fire","Santa Clara","2017"
"Manning Fire","Fresno","2017"
"Hill Fire","Fresno","2017"
"Clay Fire","Sacramento","2017"
"River Fire","Lassen","2017"
"Orange Fire","Stanislaus","2017"
"Placentia Fire","Riverside","2017"
"Westfall Fire","Mariposa","2017"
"Montezuma Fire","San Diego","2017"
"Bottle Fire","Lake","2017"
"Lake Fire","Stanislaus","2017"
"Bolla Fire","Tehama","2017"
"Fox Fire","Tulare","2017"
"Quail Fire","Calaveras","2017"
"Silver Fire","Fresno","2017"
"Slides Fire","Lake","2017"
"Hogback Fire","Tulare","2017"
"Tower Fire","San Luis Obispo","2017"
"Live Fire","Tehama","2017"
"Freedom Fire","Fresno","2017"
"Bogus Fire","Siskiyou","2017"
"Estate Fire","Solano","2017"
"Owens Fire","Siskiyou","2017"
"Topanga Fire","Los Angeles","2017"
"Bradley Fire","Siskiyou","2017"
"Bradley Fire","Siskiyou","2017"
"Quimby Fire","Santa Clara","2017"
"Weller Fire","Santa Clara","2017"
"Tank Fire","Kern","2017"
"Lago Fire","Riverside","2017"
"Douglas Fire","San Diego","2017"
"Power Fire","Madera","2017"
"Serenas Fire","Riverside","2017"
"Bitterwater Fire","San Benito","2017"
"Zenon Fire","San Luis Obispo","2017"
"Canyon Fire","Riverside","2017"
"Hidden Fire","San Bernardino","2017"
"Whitepine Fire","Siskiyou","2017"
"Riverbottom Fire","Riverside","2017"
"Pozo Fire","San Luis Obispo","2017"
"Grace Fire","Shasta","2017"
"Mines Fire","Alameda","2017"
"Roser Fire","Tehama","2017"
"Pine Fire","Monterey","2017"
"Lockwood Fire","Monterey","2017"
"Paskenta Fire","Tehama","2017"
"Jones Fire","Modoc","2017"
"Ward Fire","Siskiyou","2017"
"Stokes Fire","Los Angeles","2017"
"Feed Fire","Kern","2017"
"Riverdale Fire","Riverside","2017"
"Palm Fire","Riverside","2017"
"Freeway Fire","San Bernardino","2017"
"Jones Fire","Shasta","2017"
"Lakewood Fire","Kern","2017"
"Hole Fire","Del Norte","2017"
"Translator Fire","Humboldt","2017"
"Vestal Fire","Tehama","2017"
"Murphy Fire","Lake","2017"
"Reservation Fire","Monterey","2017"
"Table Fire","Tuolumne","2017"
"Spenceville Fire","Yuba","2017"
"Toll Fire","Solano","2017"
"Pine Fire","Marin","2017"
"Red Fire","Tuolumne","2017"
" Bridge Fire","Shasta","2017"
"Banderilla Fire","Mariposa","2017"
"Black Fire","San Diego","2017"
"Melba Fire","Riverside","2017"
"Spaletta Fire","Marin","2017"
"Jurupa Fire","Riverside","2017"
"Latrobe Fire","Sacramento","2017"
"Breckenridge Fire","Kern","2017"
"Smiley Fire","Riverside","2017"
"Meyers Fire","San Bernardino","2017"
"Ellie Fire","Riverside","2017"
"Miller Fire","Humboldt","2017"
"Valley Fire","San Benito","2017"
"Christmas Fire","Riverside","2017"
"Valley Fire","Riverside","2017"
"Creek Fire ","Kern","2017"
"Sandy Fire","Trinity","2017"
"Sandy Fire","Trinity","2017"
"Washington Fire","Riverside","2017"
"Shore Fire","Monterey","2017"
"Pleyto Fire","Monterey","2017"
"York Fire","Monterey","2017"
"Juniper Fire","Fresno","2017"
"Hub Fire","Kern","2017"
"Castaic Fire","Los Angeles","2017"
"Blocksburg Fire","Humboldt","2017"
"Timber Fire","Riverside","2017"
"Ice Fire","El Dorado","2017"
"Benson Fire","Tehama","2017"
"32 Fire","Butte","2017"
"4-4 Fire","Modoc","2017"
"Shore Fire","Del Norte","2017"
"Nuevo Fire","Riverside","2017"
"4-10 Fire","Modoc","2017"
"Vernon Fire","Riverside","2017"
"Jasper Fire","Yuba","2017"
"Trellis Fire","Riverside","2017"
"Fairview Fire","Riverside","2017"
"Wilson Fire","San Diego","2017"
"Cove Fire","San Luis Obispo","2017"
"Border 9 Fire","San Diego","2017"
"Hopper Fire","Shasta","2017"
"Sloane Fire","San Diego","2017"
"Road Fire","Madera","2017"
"5 Fire","Los Angeles","2017"
"Ribbonwood Fire","San Diego","2017"
"Portola Fire","Riverside","2017"
"Edwards Fire","Alameda","2017"
"Gold Fire","Calaveras","2017"
"Refuge Fire","Napa","2017"
"Soda Fire","San Luis Obispo","2017"
"Mule Fire","Lake","2017"
"Globe Fire","Tulare","2017"
"Highway Fire","Butte","2017"
"Platina Fire","Shasta","2017"
"Bitterwater Fire","San Benito","2017"
"Blue Fire","Humboldt","2017"
"Fort Fire","Sonoma","2017"
"36 Fire","Tehama","2017"
"Falls Fire","Tuolumne","2017"
"Seine Fire","San Bernardino","2017"
"Range Fire","Mendocino","2017"
"Reed Fire","Riverside","2017"
"Fish Fire","Contra Costa","2017"
"City Fire","Kings","2017"
"Nacimiento Fire","Monterey","2017"
"Longhorn Fire","Riverside","2017"
"Garden Fire","Nevada","2017"
"Nuevo Fire","Riverside","2017"
"Sway Fire","Humboldt","2017"
"Willms Fire","Stanislaus","2017"
"King Fire","Siskiyou","2017"
"Fay Fire","Kern","2017"
"Bodega Fire","Sonoma","2017"
"Lakeland Fire","Butte","2017"
"Panoche Fire","Fresno","2017"
"Pine Fire","Monterey","2017"
"Ramblin Fire","Mariposa","2017"
"Corner Fire","Shasta","2017"
"Sky Fire","Shasta","2017"
"Rocky Fire","San Luis Obispo","2017"
"Lonoak Fire","Monterey","2017"
"Canyon Fire","Riverside","2017"
"Elk Fire","Kern","2017"
"Matz Fire","San Bernardino","2017"
"Rusty Fire","Fresno","2017"
"Paskenta Fire ","Tehama","2017"
"Greenhorn Fire","Nevada","2017"
"Centerville Fire","Modoc","2017"
"Alvarado Fire","Monterey","2017"
"Lombardi Fire","Calaveras","2017"
"66 Fire","Riverside","2017"
"Drum Fire","Santa Barbara","2017"
"Coast Fire","Santa Barbara","2017"
"Desabla Fire","Butte","2017"
"Hog Fire","Monterey","2017"
"Moraga Fire","Riverside","2017"
"Milton Fire","Stanislaus","2017"
"Woodland Fire","El Dorado","2017"
"Rosado Fire","El Dorado","2017"
"Silver Fire","San Bernardino","2017"
"Pacific Fire","Butte","2017"
"Dehesa Fire","San Diego","2017"
"Shandon Fire","San Luis Obispo","2017"
"Jameson Fire","Riverside","2017"
"Taglio Fire","Merced","2017"
"Independence Fire","Sonoma","2017"
"Lisa Fire","Riverside","2017"
"Freeway Fire","Tehama","2017"
"Dexter Fire","Mariposa","2017"
"Shaver Fire","Fresno","2017"
"Sandra Fire","Amador","2017"
"Rincon Fire","Los Angeles","2017"
"Grizzly Fire","Nevada","2017"
"North Fire","Shasta","2017"
"Navajo Fire","Riverside","2017"
"Rebie Fire","Butte","2017"
"Canyon Fire","Riverside","2017"
"Brewer Fire","Nevada","2017"
"Lambs Fire","Riverside","2017"
"Springs Fire","Riverside","2017"
"Pine Fire","Kern","2017"
"Shirleon Fire ","Riverside","2017"
"Twenty Fire","Yuba","2017"
"Champagne Fire","Kern","2017"
"Moreno Fire","Riverside","2017"
"Soledad Fire","Monterey","2017"
"Pressley Fire (Central LNU Complex)","Sonoma","2017"
"Partrick Fire (Central LNU Complex)","Napa","2017"
"Rattlesnake Fire","Mariposa","2017"
"Clear Complex (merged into Eclipse Complex)","Siskiyou","2017"
"Warner Mountain Lightning","Modoc","2017"
"Creek Fire","Glenn","2017"
"Antelope Fire","Lassen","2017"
"Klamath Fire","Siskiyou","2017"
" Cristianitos Fire","San Diego","2017"
"Salmon-August Complex ","Siskiyou","2017"
"King Incident","Tulare","2017"
"Range Fire","San Luis Obispo","2017"
"Oroville Spillway ","Butte","2017"
"Ranch Fire (Mendocino Complex)","Colusa","2018"
"Ranch Fire (Mendocino Complex)","Glenn","2018"
"Ranch Fire (Mendocino Complex)","Lake","2018"
"Ranch Fire (Mendocino Complex)","Mendocino","2018"
"Carr Fire","Shasta","2018"
"Carr Fire","Trinity","2018"
"Camp Fire","Butte","2018"
"Woolsey Fire","Los Angeles","2018"
"Woolsey Fire","Ventura","2018"
"Ferguson Fire","Mariposa","2018"
"County Fire","Napa","2018"
"County Fire","Yolo","2018"
"Delta Fire","Shasta","2018"
"Delta Fire","Trinity","2018"
"River Fire (Mendocino Complex)","Colusa","2018"
"River Fire (Mendocino Complex)","Lake","2018"
"River Fire (Mendocino Complex)","Mendocino","2018"
"Hirz Fire","Shasta","2018"
"Stone Fire","Modoc","2018"
"Klamathon Fire","Siskiyou","2018"
"Donnell Fire","Tuolumne","2018"
"Holy Fire","Orange","2018"
"Whaleback Fire","Lassen","2018"
"Pawnee Fire","Lake","2018"
"Cranston Fire","Riverside","2018"
"Waverly Fire","San Joaquin","2018"
"Boot Fire","Mono","2018"
"Planada Fire","Merced","2018"
"Hill Fire","Ventura","2018"
"Branscombe Fire","Solano","2018"
"Lions Fire","Madera","2018"
"Sun Fire","Tehama","2018"
"Lane Fire","Tehama","2018"
"Mill Creek 1 Fire","Humboldt","2018"
"Charlie Fire","Los Angeles","2018"
"Five Fire","Kings","2018"
"Apple Fire","Tehama","2018"
"Tarina Fire","Kern","2018"
"Georges Fire","Inyo","2018"
"Snell Fire","Napa","2018"
"Chrome Fire","Glenn","2018"
"Turkey Fire","Monterey","2018"
"Nelson Fire","Solano","2018"
"Eagle Fire","Modoc","2018"
"Pleasant Fire","Inyo","2018"
"Hat Fire","Shasta","2018"
"Nees Fire","Merced","2018"
"Kerlin Fire","Trinity","2018"
"Creek Fire","Shasta","2018"
"Nurse Fire","Solano","2018"
"Yankee Fire","San Luis Obispo","2018"
"Stone Fire","Los Angeles","2018"
"Valley Fire","San Bernardino","2018"
"Airline Fire","San Benito","2018"
"Moffat Fire","Inyo","2018"
"Patterson Fire","Riverside","2018"
"Butte Fire","Sutter","2018"
"North Fire","Placer","2018"
"Front Fire","Santa Barbara","2018"
"Breckenridge Fire","Kern","2018"
"Eel Fire","Mendocino","2018"
"Stoney Fire","Butte","2018"
"Dale Fire","Tehama","2018"
"Irish Fire","Amador","2018"
"Eighty Eight Fire","Yolo","2018"
"Sunset Fire","Placer","2018"
"River Fire","Tulare","2018"
"Gulch Fire","Monterey","2018"
"Tumbleweed Fire","Lassen","2018"
"Grant Fire","Alameda","2018"
"Tulloch Fire","Tuolumne","2018"
"June Fire","Butte","2018"
"Eastern Fire","San Benito","2018"
"West Fire","San Diego","2018"
"Grant Fire","Alameda","2018"
"Hyatt Fire","Lassen","2018"
"Metz Fire","Monterey","2018"
"San Ardo","Monterey","2018"
"Call Fire","Kern","2018"
"Pasqual Fire","San Diego","2018"
"Oak Fire","Madera","2018"
"Shippee Fire","Butte","2018"
"Owens Fire","Inyo","2018"
"Bascom Fire","Shasta","2018"
"Country Fire","Santa Clara","2018"
"Shingle Fire","El Dorado","2018"
"Flat Fire","Trinity","2018"
"ONeals Fire","Madera","2018"
"Alpha Fire","San Diego","2018"
"Twisselman Fire","Kern","2018"
"South Fire","Calaveras","2018"
"Eastman Fire","Madera","2018"
"Skyline Fire","Riverside","2018"
"Panoche Fire","San Benito","2018"
"Valley Fire","Contra Costa","2018"
"Stoll Fire","Tehama","2018"
"Recycle Fire","San Diego","2018"
"Wilson Fire","Tehama","2018"
"Fox Fire","San Luis Obispo","2018"
"Santa Cruz Fire","Santa Barbara","2018"
"Rangeland Fire","San Diego","2018"
"Marsh Fire","Contra Costa","2018"
"Steamboat Fire","Siskiyou","2018"
"Petersburg Fire","Siskiyou","2018"
"Beaver Fire","San Benito","2018"
"Rock Fire","San Diego","2018"
"Ribbon Fire","Riverside","2018"
"Water Fire","Kern","2018"
"Bear Fire","Merced","2018"
"Par Fire","Butte","2018"
"Peak Fire","Ventura","2018"
"Dinosaur Fire","Merced","2018"
"South Fire","Los Angeles","2018"
"Aliso Fire","Orange","2018"
"Ogilvy Fire","Santa Barbara","2018"
"Sierra Fire","Tehama","2018"
"Priest Fire","Monterey","2018"
"Roxie Fire (Formerly 1-1 Fire)","Lassen","2018"
"Fork Fire","Los Angeles","2018"
"Flat Fire","Tuolumne","2018"
"Winters Fire","Solano","2018"
"Gorge Fire","Shasta","2018"
"Santiago Fire","Orange","2018"
"Euclid Fire","Riverside","2018"
"Irving Fire","Marin","2018"
"Briggs Fire","Ventura","2018"
"Nacimiento Fire","Monterey","2018"
"Sliger Fire","El Dorado","2018"
"Sierra Fire","San Bernardino","2018"
"Parrots Fire","Calaveras","2018"
"Steele Fire","Napa","2018"
"Pico Fire","Los Angeles","2018"
"Open Fire","Glenn","2018"
"Shastina Fire","Siskiyou","2018"
"Sterling","San Bernardino","2018"
"Market Fire","Tulare","2018"
"Murphy Fire","Plumas","2018"
"Idria Fire","San Benito","2018"
"Bridle Fire","Santa Clara","2018"
"Wheeler Fire","Mariposa","2018"
"Pine Fire","Kern","2018"
"Holiday Fire","Santa Barbara","2018"
"Windmill Fire","Santa Barbara","2018"
"Cobble Fire","Fresno","2018"
"Western Fire","Mendocino","2018"
"Cache Fire","Lake","2018"
"Jelly Fire","Tehama","2018"
"Cloverdale Fire","San Diego","2018"
"Balch Fire","Tulare","2018"
"Box Fire","San Bernardino","2018"
"Water Fire","San Luis Obispo","2018"
"Sam Fire","Monterey","2018"
"Sheep Fire","Kern","2018"
"Peach Fire ","Mendocino","2018"
"3-16 Fire","Lassen","2018"
"Horn Fire","Lassen","2018"
"Redinger Fire","Madera","2018"
"Plaza Fire","Merced","2018"
"Shandon Fire","San Luis Obispo","2018"
"Spring 2 Fire","Lake","2018"
"Horse Fire","Calaveras","2018"
"Cruces Fire","Santa Barbara","2018"
"Silver Fire","Shasta","2018"
"Anchor Fire","Fresno","2018"
"Stony Fire","Colusa","2018"
"Chrome Fire","Glenn","2018"
"Main Fire","Riverside","2018"
"Curie Fire","Santa Clara","2018"
"Tesla Fire","Santa Clara","2018"
"Spring Fire","Tehama","2018"
"Tornado Fire","Riverside","2018"
"Romero Fire","Merced","2018"
"Bumper Fire","El Dorado","2018"
"Heart Fire","Mendocino","2018"
"Omega Fire","El Dorado","2018"
"Panoche Fire","San Benito","2018"
"Park Fire","Santa Clara","2018"
"Highland Fire","Shasta","2018"
"Benton Fire","Riverside","2018"
"Cherry Fire","Siskiyou","2018"
"Stuhr Fire","Stanislaus","2018"
"Lebec Fire","Kern","2018"
"Canyon Fire","Los Angeles","2018"
"Liberty Fire","San Joaquin","2018"
"Adams Fire","Tehama","2018"
"Grade Fire","Lake","2018"
"Raymond Fire","Madera","2018"
"Creston FIre","San Luis Obispo","2018"
"Vista Fire","San Luis Obispo","2018"
"Happy Fire","Santa Barbara","2018"
"Agua Fire","San Diego","2018"
"Camino Fire","San Luis Obispo","2018"
"3-10 Fire","Lassen","2018"
"Bruce Fire","Contra Costa","2018"
"Experimental Fire","Madera","2018"
"Keenbrook Fire","San Bernardino","2018"
"Copper Fire","Lassen","2018"
"Boyer Fire","Mariposa","2018"
"Kelley Fire","Modoc","2018"
"Reservoir Fire","San Luis Obispo","2018"
"Crestline Fire","Shasta","2018"
"Hale Fire","Santa Clara","2018"
"Carder Fire","Lake","2018"
"Tuscan Fire","Tehama","2018"
"Haycamp Fire","Monterey","2018"
"Castro Fire","Alameda","2018"
"Buckingham Fire","Contra Costa","2018"
"Bridge Fire","Marin","2018"
"Simmons Fire","Butte","2018"
"Martinez Fire","Riverside","2018"
"Ben Fire","Mariposa","2018"
"Iron Fire","Contra Costa","2018"
"Oregon Fire","Butte","2018"
"Hidden Fire","San Benito","2018"
"Masonic Fire","Shasta","2018"
"Adobe Fire","San Diego","2018"
"Mustang Fire","San Luis Obispo","2018"
"Martin Fire","Siskiyou","2018"
"Ridge Fire","Lake","2018"
"Winchester Fire","Riverside","2018"
"Brushy Fire","Mendocino","2018"
"Terra Fire","Riverside","2018"
"Corner Fire","Shasta","2018"
"Fairview Fire","San Benito","2018"
"Marcel Fire","Kern","2018"
"Patterson Fire","Alameda","2018"
"Horse Creek Fire","Tulare","2018"
"Nimshew Fire","Butte","2018"
"Lariat Fire","Tehama","2018"
"Creek Fire","San Bernardino","2018"
"Wilcox Fire","Tulare","2018"
"Eagle Fire","Fresno","2018"
"Country Fire","Riverside","2018"
"3-18 Fire","Lassen","2018"
"Creek Fire","Lake","2018"
"Vista Fire","Shasta","2018"
"Quimby Fire","Santa Clara","2018"
"Alhambra Fire","Contra Costa","2018"
"Creek Fire","Alameda","2018"
"Sobrante Fire","Riverside","2018"
"Rock Fire","San Luis Obispo","2018"
"Grant Fire","Sacramento","2018"
"Aqueduct Fire","Fresno","2018"
"Border Fire","San Diego","2018"
"Ager Fire","Siskiyou","2018"
"White Fire","Tulare","2018"
"Soboba Fire","Riverside","2018"
"Willow Fire","Contra Costa","2018"
"Vineyard Fire","San Luis Obispo","2018"
"Kelsey Fire","Lake","2018"
"Land Fire","Riverside","2018"
"Glen Fire","Contra Costa","2018"
"Plymire Fire","Tehama","2018"
"Wagner Fire","Mariposa","2018"
"Meadow Fire","Riverside","2018"
"Morgan Fire","Contra Costa","2018"
"Niles Fire","Alameda","2018"
"Church Fire","Santa Clara","2018"
"Vallecitos Fire","Alameda","2018"
"Bridle Fire","Riverside","2018"
"70 Fire","Butte","2018"
"Portola Fire ","Los Angeles","2018"
"French Fire","Plumas","2018"
"Jacques Fire","San Diego","2018"
"Lago Fire","Riverside","2018"
"Rincon Fire","Santa Cruz","2018"
"China Fire","Amador","2018"
"Ethanac Fire","Riverside","2018"
"Oak Fire","Nevada","2018"
"Johnson Fire","Humboldt","2018"
"Keeler Fire","Santa Clara","2018"
"Iron Gate Fire","Siskiyou","2018"
"Essex Fire","Modoc","2018"
"Woodchuck Fire","Riverside","2018"
"Tyler Fire","Riverside","2018"
"Casner Fire","San Diego","2018"
"Camp Fire","San Luis Obispo","2018"
"3-2 Fire","Lassen","2018"
"Madison FIre","Yolo","2018"
"Ranchera Fire","Shasta","2018"
"Cinnamon Fire","San Diego","2018"
"Coldwell Fire","Fresno","2018"
"Tower Fire","Shasta","2018"
"Meyers Fire","El Dorado","2018"
"Gray Fire","San Bernardino","2018"
"School Fire","Madera","2018"
"Mission Fire","Marin","2018"
"Vista Fire","San Diego","2018"
"Meamber Fire","Siskiyou","2018"
"Resort Fire","San Luis Obispo","2018"
"Bellagio Fire","Napa","2018"
"Grant Fire","Alameda","2018"
"Volcan Fire","San Diego","2018"
"Dark Fire","Butte","2018"
"Cornerstone Fire","Madera","2018"
"Grande Fire","Riverside","2018"
"Rock Fire","Shasta","2018"
"Bear Fire ","Santa Cruz","2018"
"Green Hill Fire","Humboldt","2018"
"Powellton Fire","Butte","2018"
"Keller Fire","Riverside","2018"
"Syar Fire","Napa","2018"
"Lott Fire","Siskiyou","2018"
"Building Fire","San Diego","2018"
"Llano Fire","Butte","2018"
"Creek Fire","San Luis Obispo","2018"
"Ranchita Fire","Monterey","2018"
"Pallet Fire","Sonoma","2018"
"Green Fire","San Diego","2018"
"Black Fire","Tehama","2018"
"Jardin Fire","Riverside","2018"
"70th Fire","Riverside","2018"
"Honey Flooding","Butte","2018"
"Grape Fire","Humboldt","2018"
"Montecito Flooding / Mudflows","Santa Barbara","2018"
"Montecito Flooding / Mudflows","Ventura","2018"
"Easy Fire","Ventura","2019"
"Gaines Fire","Mariposa","2019"
"Sandalwood Fire","Riverside","2019"
"Rawson Fire","Tehama","2019"
"Hill Fire ","Riverside","2019"
"Foothills Fire","Placer","2019"
"Cross Fire","Monterey","2019"
"Cross Fire","San Luis Obispo","2019"
"Valley Fire","Mariposa","2019"
"Mud Fire ","Fresno","2019"
"3-2 Willow (Previously H-1 Fire)","Lassen","2019"
"Wolf Fire","Riverside","2019"
"Merrill Fire","Contra Costa","2019"
"Miller Fire","San Diego","2019"
"Mines Fire","Alameda","2019"
"Rains Fire","Stanislaus","2019"
"Horse Fire","Shasta","2019"
"Whiskey Fire","Calaveras","2019"
"La Barisa Fire","San Bernardino","2019"
"Vista Fire","San Diego","2019"
"Chaparral Fire","El Dorado","2019"
"Mid Fire","Alameda","2019"
"Nustar Fire","Contra Costa","2019"
"Sage Fire","Riverside","2019"
"Wilson Fire","Mendocino","2019"
"Deer Fire","Santa Cruz","2019"
"Kincade Fire","Sonoma","2019"
"Walker Fire","Plumas","2019"
"Tucker Fire","Modoc","2019"
"Taboose Fire","Inyo","2019"
"Maria Fire ","Ventura","2019"
"Red Bank Fire","Tehama","2019"
"Saddle Ridge Fire","Los Angeles","2019"
"Lone Fire","Modoc","2019"
"Briceburg Fire","Mariposa","2019"
"South Fire","Tehama","2019"
"Springs Fire","Mono","2019"
"Tick Fire","Los Angeles","2019"
"Caples Fire","El Dorado","2019"
"R-1 Fire","Lassen","2019"
"Cave Fire (No Longer a CAL FIRE Incident)","Santa Barbara","2019"
"Lonoak Fire","Monterey","2019"
"Ranch Fire","Tehama","2019"
"Sand Fire","Yolo","2019"
"Refuge Fire","Kern","2019"
"Long Valley Fire ","Lassen","2019"
"Rock Fire","Stanislaus","2019"
"Cow Fire","Inyo","2019"
"Tenaja","Riverside","2019"
"Lime Fire","Siskiyou","2019"
"McMillan Fire","San Luis Obispo","2019"
"Border 8 Fire","Mexico","2019"
"West Butte Fire","Sutter","2019"
"Ward Fire","State of Oregon","2019"
"Jasper Fire","State of Nevada","2019"
"Boulder Fire","San Luis Obispo","2019"
"W1 McDonald Fire","Lassen","2019"
"Gillis Fire","San Luis Obispo","2019"
"Belmont Fire","San Luis Obispo","2019"
"Marsh Complex","Contra Costa","2019"
"Creek Fire","Tulare","2019"
"Getty Fire ","Los Angeles","2019"
"Burris Fire","Mendocino","2019"
"Baseline Fire ","Placer","2019"
"Mountain Fire","Shasta","2019"
"Stuhr Fire","Stanislaus","2019"
"American Fire","Napa","2019"
"Jerry Fire","Riverside","2019"
"Horseshoe Fire ","Riverside","2019"
"Swedes Fire","Butte","2019"
"Caliente Fire","San Diego","2019"
"Mesa Fire ","Kern","2019"
"Hunter Fire","Mariposa","2019"
"Real Fire","Santa Barbara","2019"
"Broder Fire","Tulare","2019"
"Reche Fire","Riverside","2019"
"46 Fire","Riverside","2019"
"Lake Fire","Monterey","2019"
"Hwy Fire","Butte","2019"
"Hollow Fire","San Joaquin","2019"
"Rams Horn Fire","Trinity","2019"
"Mill Fire","Monterey","2019"
"Snail Fire","Ventura","2019"
"Snowstorm Fire","Lassen","2019"
"R-6 Fire","Lassen","2019"
"Citrus Fire","Tulare","2019"
"Sycamore Fire","Riverside","2019"
"Henthorne Fire","Trinity","2019"
"Lake Fire","Mariposa","2019"
"Harte Fire","Alameda","2019"
"Kidder 2 Fire","Siskiyou","2019"
"Moose Fire","Mendocino","2019"
"Lopez Fire","San Luis Obispo","2019"
"Wolf Fire ","Riverside","2019"
"Madera Fire ","Madera","2019"
"Merced Fire ","Merced","2019"
"Malech Fire","Santa Clara","2019"
"Tejon Fire","Kern","2019"
"Lumgrey Fire","Siskiyou","2019"
"Milton Fire ","Stanislaus","2019"
"Hillside Fire","San Bernardino","2019"
"Cypress Complex","Contra Costa","2019"
"Olivas Fire","Ventura","2019"
"Dehesa Fire ","San Diego","2019"
"McMurray Fire","Santa Barbara","2019"
"Doyle Fire","Lassen","2019"
"Stuhr Fire ","Stanislaus","2019"
"Sargent Fire","Monterey","2019"
"Marshview Fire","Solano","2019"
"Vulcan Fire","Kern","2019"
"Bautista Fire","Riverside","2019"
"Antelope Fire","San Benito","2019"
"York Fire","Kings","2019"
"Cottage Fire","Shasta","2019"
"Five Fire","Los Angeles","2019"
"Star Fire","San Bernardino","2019"
"Spruce Fire","Tulare","2019"
"Sky Fire ","Contra Costa","2019"
"Dehesa Fire","San Diego","2019"
"Dyer Fire","Placer","2019"
"Old Water Fire","San Bernardino","2019"
"Canyon Fire","Santa Clara","2019"
"Glencove Fire ","Solano","2019"
"Patterson Fire","Alameda","2019"
"Horse Fire","Lassen","2019"
"South Fire ","Ventura","2019"
"R-1 Fire","Lassen","2019"
"Usal Fire","Mendocino","2019"
"Shady Fire","Riverside","2019"
"Reservoir Fire","Santa Clara","2019"
"Goose 2 Fire","Modoc","2019"
"Hill Fire","Fresno","2019"
"Weisgarber Fire","San Diego","2019"
"Bitter Fire ","San Luis Obispo","2019"
"Woody Fire","Kern","2019"
"West Fire ","Los Angeles","2019"
