"name","acres","counties_affected","archiveyear"
"Lincoln Fire","80","1","2019"
"Seine Fire","20","1","2017"
"Shirley Fire","3895","1","2014"
"Becks Fire","296","1","2013"
"Deer Fire","11429","1","2013"
"Monterey Fire","450","1","2017"
"Mokelumne Fire","0","1","2016"
"Bald Fire","39736","1","2014"
"Highland Fire","150","2","2013"
"Park Fire","1649","1","2017"
"Mountain Fire","600","2","2019"
"Pass Fire","67","1","2015"
"Casitas Fire","50","1","2016"
"Ward Fire","1301","1","2019"
"Camp Fire","153336","2","2018"
"Marshes Fire","1080","1","2016"
"Rebie Fire","10","1","2017"
"Big Creek Fire","204","1","2015"
"Citrus Fire","257","1","2019"
"Miller Complex","39715","1","2017"
"Uvas Fire","50","1","2013"
"Telephone Fire","15","1","2019"
"Roser Fire","43","1","2017"
"Camanche Fire","210","1","2016"
"Keeler Fire","16","1","2018"
"Feed Fire","41","1","2017"
"Whittier Fire","18430","1","2017"
"Lago Fire","18","1","2018"
"Grade Fire","22","1","2015"
"Mission Fire","1035","1","2017"
"Lyon Fire","263","1","2013"
"Atlas Fire (Southern LNU Complex)","51624","2","2017"
"Peak Fire","680","1","2017"
"Diablo Fire","100","1","2016"
"Water Fire","612","2","2013"
"Iron Fire","40","1","2018"
"Powerhouse Fire","30274","1","2013"
"Jolon Fire","66","1","2019"
"Sycamore Fire","250","1","2019"
"Jasper Fire","26","1","2017"
"Coalinga Fire","102","1","2017"
"Jameson Fire","12","1","2017"
"Ward Fire","41","1","2017"
"Rosado Fire","13","1","2017"
"Old Fire","150","4","2016"
"Antelope Fire","167","1","2019"
"Kidder 2 Fire","227","1","2019"
"Palm Fire","40","1","2017"
"Mission Fire","12","1","2018"
"Steamboat Fire","224","1","2018"
"Tulloch Fire","83","1","2019"
"Kirker Fire","492","1","2013"
"Ranch Fire","140","2","2017"
"Willard Fire","2575","1","2016"
"Pilot Fire","8110","1","2016"
"Dehesa Fire ","200","1","2019"
"Lamb Fire","120","1","2017"
"Serpa Fire","80","1","2016"
"Little Deer Fire","5503","1","2014"
"Kramer Fire ","30","1","2015"
"Rincon Fire","17","1","2018"
"South Fire","5332","1","2019"
"IronGate Fire","10","1","2019"
"Box Fire","100","1","2018"
"Pierce Fire","40","1","2013"
"Castro Fire","78","1","2017"
"Montecito Flooding / Mudflows","0","2","2018"
"Grade Fire","900","2","2017"
"Liveoak Fire","73","1","2013"
"Yankee Fire","1500","1","2018"
"Soda Fire","23","1","2015"
"Paskenta Fire","63","2","2019"
"Stone Fire","39387","2","2018"
"Kincade Fire","77758","1","2019"
"Sway Fire","19","1","2017"
"Roberts Fire","3712","1","2016"
"Far Fire","38","1","2019"
"Paskenta Fire","42","1","2017"
"Hetch Hetchy Fire","269","1","2014"
"Santiago Fire","155","1","2018"
"Mad River Complex","0","1","2015"
"Browns Fire","84","1","2019"
"Martinez Fire","40","1","2018"
"Bridle Fire","116","2","2018"
"Silver Fire","20292","1","2013"
"Bear Fire ","10","1","2018"
"Deluz Fire","486","1","2017"
"Flat Fire","300","2","2018"
"Hall Fire","25","1","2014"
"West Fire","380","2","2017"
"Flat Fire ","167","1","2015"
"Madre Fire","268","1","2013"
"Cabrillo Fire","62","1","2019"
"70 Fire","49","2","2016"
"North Branch Extension Fire","25","1","2016"
"North Fire","1120","1","2018"
"Airline Fire","1314","1","2018"
"Salmon-August Complex ","0","1","2017"
"Cherry Fire","63","1","2018"
"Gun Club Fire","300","1","2014"
"June Fire","550","1","2018"
"Dollar Fire","85","1","2017"
"Huasna Fire","245","1","2017"
"Tully Fire","599","1","2016"
"Nustar Fire","15","1","2019"
"Ager Fire","27","1","2018"
"Felipe Fire","70","1","2017"
"Carder Fire","50","1","2018"
"Dodge Fire","10570","1","2015"
"Wolf Fire ","214","1","2019"
"Church Fire","20","1","2018"
"Paskenta Fire","43","1","2016"
"Bautista Fire","167","1","2019"
"Valley Fire","34","2","2017"
"Walker Fire","43","1","2016"
"Melba Fire","35","1","2017"
"Minerva Fire","4310","1","2017"
"Merrill Fire","40","1","2019"
"Table Fire","426","2","2017"
"Creek Fire","277","2","2016"
"Hidden Fire","46","1","2017"
"Portola Fire","23","1","2017"
"Pocket Fire (Central LNU Complex)","17357","1","2017"
"Shingle Fire","316","1","2018"
"Range Fire","100","1","2019"
"Advance Fire","86","1","2015"
"Georges Fire","2883","1","2018"
"Hutto Fire","38","1","2014"
"Cornerstone Fire","11","1","2018"
"Christmas Fire","33","1","2017"
"Ruff Fire ","50","1","2016"
"Rim Fire","257314","1","2013"
"Lynch Fire","73","1","2017"
"Tehama Fire","75","1","2013"
"Yucca Fire","34","1","2019"
"Ribbonwood Fire","25","1","2017"
"Carroll Fire","19","1","2019"
"Horse Fire","131","3","2019"
"Creek Fire","756","1","2019"
"River Fire","148","2","2017"
"Sabina Fire","78","1","2014"
"36 Fire","110","1","2015"
"Rock Fire","28","1","2016"
"Round Fire","7000","2","2015"
"Wolf Fire","75","1","2019"
"Murphy Fire","237","2","2017"
"Falls Fire","20","1","2017"
"Rustic Fire","186","1","2015"
"Call Fire","367","1","2018"
"Silver Fire","76","1","2018"
"Malech Fire","210","1","2019"
"Glen Fire","23","1","2018"
"Timber Fire","30","1","2017"
"West Fire","15","1","2014"
"Broken Fire","103","1","2016"
"Pier Fire","36556","1","2017"
"3-10 Fire","56","1","2018"
"Weller Fire","51","1","2017"
"Clay Fire","32","1","2016"
"Moffett Fire","32","1","2016"
"Plaza Fire","88","1","2018"
"Daulton Fire","90","1","2017"
"Lowell Fire","2304","1","2015"
"Fish Fire","2060","1","2013"
"Panther Fire","6965","1","2013"
"Sellers Fire","58","1","2019"
"Kugelman Fire","45","1","2016"
"Chuckwagon Fire","31","1","2013"
"Tulloch Fire","573","1","2018"
"Elm Fire","10343","1","2017"
"Avocado Fire","132","1","2016"
"Marek Fire","4824","1","2016"
"Sage Fire","12","1","2019"
"Church Fire","100","1","2017"
"Tenaya Fire","415","1","2015"
"Skyway Fire","134","1","2017"
"Hogback Fire","58","1","2017"
"Fish Fire","20","1","2017"
"Green Fire","10","1","2018"
"Woody Fire","115","1","2019"
"Buffalo Fire","1088","1","2017"
"Mule Fire","21","1","2017"
"Dales Fire","11","1","2019"
"Young Fire","3142","1","2017"
"French Fire","13838","1","2014"
"Walker Fire","54612","1","2019"
"Jerry Fire","525","1","2019"
"Dexter Fire","10","1","2017"
"Opera Fire","1350","1","2017"
"Skeggs Fire","50","1","2017"
"Lumgrey Fire","207","1","2019"
"Alder Fire","25","1","2016"
"Arroyo Fire","70","1","2016"
"Border 8 Fire","1507","1","2019"
"Sargent Fire","190","1","2019"
"Vernon Fire","27","1","2017"
"La Tuna Fire ","7194","1","2017"
"Lowe Fire","52","1","2016"
"Applegate Fire","459","1","2014"
"South Fire ","131","1","2019"
"Tumey Fire","126","1","2017"
"Getty Fire ","745","1","2019"
"Pines Fire ","200","1","2015"
"Whiskey Fire","90","2","2019"
"Gorman Fire","0","1","2016"
"Milton Fire","13","1","2017"
"Cave Fire (No Longer a CAL FIRE Incident)","3126","1","2019"
"Red Bank Fire","8838","1","2019"
"Par Fire","191","1","2018"
"Washington Fire","215","1","2016"
"Putah Fire","376","1","2013"
"Portola Fire ","20","1","2018"
"Christensen Fire","242","1","2015"
"Cooley Fire","181","1","2015"
"Fiddler Fire","43","1","2013"
"Bolla Fire","60","1","2017"
"Morgan Fire","3111","1","2013"
"Belmont Fire","835","1","2019"
"Camp Fire","225","1","2017"
"Pines Fire","10","1","2014"
"Winters Fire","160","1","2018"
"Redlands Fire","150","1","2013"
"Cheyenne Fire","83","1","2016"
"Coyote Fire","74","1","2019"
"Pozo Fire","45","1","2017"
"Bryson Fire","25","1","2016"
"Rocky Fire","69438","1","2015"
"Milton Fire ","202","1","2019"
"Long Fire","100","1","2017"
"Saddle Fire ","1542","1","2015"
"Fellow Fire","24","1","2019"
"Coronado Fire","125","1","2017"
"Usal Fire","130","1","2019"
"Gulch Fire","1469","2","2014"
"Moms Fire ","10","1","2019"
"Liberty Fire","300","1","2017"
"Triangle Fire","60","1","2015"
"Gobblers Fire","413","1","2013"
"Miguelito Fire","632","1","2014"
"Creek Fire","1678","5","2018"
"Mud Fire","6042","1","2017"
"Cana Fire","10","1","2019"
"Auberry Fire","91","1","2017"
"Centerville Fire","15","1","2017"
"Essex Fire","15","1","2018"
"Edwards Fire","22","1","2017"
"Main Fire","73","1","2018"
"Cypress Complex","200","1","2019"
"Cuesta Fire","2446","1","2015"
"Spruce Fire","155","1","2019"
"Sacata Fire","2100","1","2016"
"Walker Fire","3676","2","2015"
"Cache Fire","103","1","2018"
"Merwin Fire","150","1","2015"
"River Fire (Mendocino Complex)","48920","3","2018"
"Buckaroo Fire","25","1","2015"
"Sage Fire","1109","1","2016"
"Liberty Fire","62","1","2018"
"Garza Fire","48889","1","2017"
"Hills Fire","168","1","2017"
"Vasco Fire","195","1","2015"
"Fawnskin Fire","30","1","2013"
"Marsh Complex","757","1","2019"
"Resort Fire","12","1","2018"
"Parker 2 Fire","7697","1","2017"
"Browns Fire","35","1","2015"
"26 Fire","157","1","2017"
"Cantwell Fire","120","1","2013"
"Spring Fire ","78","1","2017"
"Moraga Fire","14","1","2017"
"Tank Fire","50","1","2017"
"Mount Fire","25","1","2013"
"Lonoak Fire","17","1","2017"
"Hunters Fire","677","1","2014"
"Water Fire","200","2","2018"
"Ranch Fire (Mendocino Complex)","410203","4","2018"
"Point Fire","130","1","2017"
"Hunter Fire","423","1","2019"
"Planada Fire","4564","1","2018"
"Shoemaker Fire","190","1","2014"
"Oasis Fire","25","1","2015"
"Meyers Fire","34","1","2017"
"Bravo Fire","288","1","2017"
"Canyon 2 Fire","9217","1","2017"
"Power Fire","1070","1","2013"
"Caples Fire","3435","1","2019"
"Marcel Fire","34","1","2018"
"Mile Fire","100","1","2017"
"De Luz Fire","55","1","2015"
"Campo Fire","33","1","2016"
"Laureles Fire","95","1","2015"
"Powellton Fire","10","1","2018"
"Honcut Fire","166","1","2017"
"Lonoak Fire","2546","1","2019"
"Sawmill Fire","1547","1","2016"
"Park Hill Fire","1791","1","2015"
"Kerkhoff Fire","60","1","2015"
"Breckenridge Fire","35","1","2017"
"Athens Fire","169","1","2016"
"59 Fire","487","1","2014"
"Modoc Lightning Complex","1651","1","2014"
"Bikeway Fire","25","1","2019"
"Aqueduct Fire","30","1","2018"
"Rams Horn Fire","280","1","2019"
"Hawk Fire","2940","1","2017"
"Live Fire","57","1","2017"
"Manning Fire","70","1","2017"
"El Dorado Fire","976","1","2017"
"Stage Coach Fire","27","1","2014"
"Vista Fire","25","1","2019"
"Eureka Fire","2575","1","2017"
"Tenaja","1926","1","2019"
"Keswick Fire","24","1","2016"
"Spring Fire","225","1","2017"
"Casa Fire","80","1","2014"
"Vulcan Fire","172","1","2019"
"Shirley Fire","794","1","2013"
"Wilbur Fire","91","1","2017"
"Glass Fire","28","1","2019"
"River Fire","668","1","2018"
"Elk Fire","673","1","2015"
"Thompson Fire ","95","1","2019"
"Stokes Fire","41","1","2017"
"Winchester Fire","36","1","2018"
"Tesla Fire","70","1","2018"
"Sandalwood Fire","1011","1","2019"
"Pacheco Fire","215","1","2015"
"Maze Fire","140","1","2016"
"Chiles Fire","38","1","2015"
"Land Fire","23","1","2018"
"Van Dyke Fire","509","1","2015"
"Scott Fire","80","2","2019"
"Mills File","79","1","2017"
"Five Fire","2995","1","2018"
"Black Fire","170","1","2015"
"Sierra Fire","114","1","2016"
"Warm Fire","300","1","2015"
"Jackson Fire","70","1","2014"
"Bitter Fire ","120","1","2019"
"Waverly Fire","12300","1","2018"
"Tumbleweed Fire","646","1","2018"
"Grace Fire","45","1","2017"
"Hog Fire","360","1","2016"
"Salmon River Complex","14754","1","2013"
"Branch Fire","500","2","2013"
"Havilah Fire","304","1","2016"
"Butts Fire","4300","2","2014"
"Apple Fire","2956","1","2018"
"Greenhorn Fire","15","1","2017"
