"name","acres","counties_affected","archiveyear"
"Iowa Fire","14","1","2014"
"Gorge Fire","155","1","2018"
"Garden Fire","1350","2","2017"
"Creek Fire","1450","2","2015"
"Silverado Fire","190","2","2013"
"Temecula Fire","139","1","2016"
"Bogart Fire","1470","1","2016"
"Cienega Fire","670","1","2015"
"Bear Fire","200","1","2018"
"ONeals Fire","300","1","2018"
"Creek Fire ","33","1","2017"
"Turkey Fire","2225","1","2018"
"Copper Fire","53","1","2018"
"Black Fire","36","1","2017"
"Margarita Fire","120","1","2017"
"Bridge Fire","45","1","2018"
"Meadow Fire","21","1","2018"
"Matz Fire","16","1","2017"
"Haigh Fire","130","1","2014"
"Onyx Fire","221","1","2016"
"Orange fire","96","1","2019"
"36 Fire","20","1","2017"
"Grade Fire","710","1","2016"
"Owens Fire","55","1","2017"
"Wilson Fire","10","1","2019"
"Empire Fire","38","1","2013"
"Hill Fire","1598","3","2017"
"Willow Fire","25","1","2018"
"Encinal Fire","400","1","2014"
"Tilton Fire","100","1","2017"
"Otay Fire","80","1","2015"
"Michelle Fire","35","1","2013"
"Reservation Fire","40","1","2017"
"Gap Fire","33867","1","2016"
"Lakeshore Fire","30","1","2013"
"Ben Fire","630","1","2017"
"Honey Fire","34","1","2013"
"Adams Fire","60","1","2018"
"Benton Fire","63","1","2018"
"Empire Fire","8094","1","2017"
"Prairie Fire ","50","1","2019"
"Tyler Fire","15","1","2018"
"Park Fire","63","1","2018"
"Owens River Fire","5443","1","2016"
"Gorman Fire","135","1","2017"
"Boles Fire","516","1","2014"
"Lake Fire","316","2","2019"
"Copper Fire","50","1","2019"
"Meadow Fire","81","1","2019"
"Ward Fire","137","1","2015"
"Lilly 2 Fire","91","1","2013"
"Moffat Fire","1265","1","2018"
"Frame Fire","25","1","2019"
"Olive Fire","170","1","2013"
"Terra Fire","35","1","2018"
"Grande Fire","11","1","2018"
"Taglio Fire","30","1","2016"
"Neal Fire","150","1","2013"
"Lisa Fire","11","1","2017"
"Crestline Fire","51","1","2018"
"Soda Fire","143","2","2017"
"Mason Fire ","43","1","2015"
"Carr Fire","229651","2","2018"
"Creek Fire","15619","4","2017"
"Dinosaur Fire","1246","1","2016"
"Tick Fire","4615","1","2019"
"Highway Fire","380","1","2014"
"Breckenridge Fire","993","1","2018"
"Hoag Fire","80","1","2016"
"La Barisa Fire","26","1","2019"
"Lariat Fire","101","1","2017"
"Mud Fire ","137","1","2019"
"Diablo Fire","150","1","2013"
"Gray Fire","12","1","2018"
"LaPorte Fire (Wind Complex)","6151","1","2017"
"Hirz Fire","46150","1","2018"
"Pawnee Fire","15185","1","2018"
"Relay Fire","60","1","2013"
"Rawson Fire","605","1","2019"
"Jelly Fire","103","1","2018"
"Charlie Fire","3380","1","2018"
"Pfeiffer Fire","917","1","2013"
"Thomas Fire","281893","2","2017"
"Sand Fire","2512","1","2019"
"Cruces Fire","77","1","2018"
"Timm Fire","100","1","2017"
"Shandon Fire","12","1","2017"
"West Butte Fire","1350","1","2019"
"Feather Fire","100","1","2016"
"Brushy Fire","35","1","2018"
"River Fire","164","1","2015"
"Lago Fire","50","1","2017"
"Bally Fire","100","1","2017"
"Panoche Fire","18","1","2017"
"Stephens Fire","200","1","2015"
"Pulgas Fire","14416","1","2014"
"Sam Fire","96","1","2018"
"Pala Fire","70","1","2016"
"Chaparral Fire","22","1","2019"
"Ranch Fire","35","1","2015"
"Corner Fire","35","1","2018"
"Spring 2 Fire","80","1","2018"
"Ponderosa Fire","4016","1","2017"
"Web Fire","389","1","2014"
"Border Fire","100","2","2019"
"Courtney Fire","320","1","2014"
"Mina Fire","36","1","2016"
"Hill Fire ","494","1","2019"
"Howard Fire","380","1","2016"
"Saddle Fire","850","1","2016"
"Kelley Fire","52","1","2018"
"3-2 Fire","14","1","2018"
"Covelo Fire","35","1","2015"
"Alamo Fire","28687","1","2017"
"Pleasure Fire","19","1","2015"
"3-2 Willow (Previously H-1 Fire)","107","1","2019"
"Bane Fire","48","1","2014"
"Delta Fire","63311","2","2018"
"Border 9 Fire","25","1","2017"
"Open Fire","127","1","2018"
"Niles Fire","20","1","2018"
"Mesa Fire","50","1","2017"
"Bald Fire","20","1","2015"
"Phoenix Fire","38","1","2016"
"Doyle Fire","193","1","2019"
"Wild Fire","186","1","2017"
"Mountain Fire","35","1","2016"
"Tesla Fire","2700","2","2015"
"Jamieson Fire","35","1","2019"
"Sweigert Fire ","80","1","2019"
"Sobrante Fire","30","1","2018"
"Meadow Fire","4347","1","2016"
"Sherwood Fire","78","1","2016"
"Tulloch Fire","112","1","2015"
"Nimshew Fire","33","1","2018"
"Nickowitz Fire","7509","1","2015"
"Baseline Fire ","604","1","2019"
"Cherokee Fire","8417","1","2017"
"Little Mountain Fire","260","1","2017"
"Green Hill Fire","10","1","2018"
"Iron Gate Fire","15","1","2018"
"Centerville Fire","80","1","2013"
"Oak Fire","360","2","2018"
"Redwood Valley Fire (Mendocino Lake Complex)","36523","1","2017"
"Jayne Fire","5738","1","2017"
"Twenty Fire","10","1","2017"
"Vina Fire","200","1","2013"
"Heavy Range Fire","33","1","2019"
"Summit Complex","5247","1","2017"
"Owens Fire","338","1","2018"
"Dinosaur Fire","185","1","2018"
"Cook Fire","158","1","2015"
"Lake Fire","75","1","2016"
"Black Fire","10","1","2018"
"3-18 Fire","32","1","2018"
"Sonoma-Lake-Napa Unit Lightning Fires","28","4","2013"
"Cascade Fire (Wind Complex)","9989","1","2017"
"South Fire","290","2","2018"
"Carstens Fire","1708","1","2013"
"Recycle Fire","265","1","2018"
"Omega Fire","66","1","2018"
"Orange Fire","65","1","2017"
"Hidden Fire","30","1","2016"
"Ranger Fire","15","1","2013"
"Mountain Fire","27531","1","2013"
"Forbestown Fire","58","1","2019"
"Woodchuck Fire","15","1","2018"
"Simmons Fire","43","1","2018"
"Shippee Fire","347","1","2018"
"Point Fire","59","1","2015"
"Sunset Fire","700","1","2018"
"32 Fire","28","1","2017"
"Roblar Fire","1245","1","2016"
"Jasper Fire","1165","1","2019"
"Topanga Fire","55","1","2017"
"Lakewood Fire","40","1","2017"
"Adelaida Fire","85","1","2013"
"Tassajara Fire","213","1","2013"
"Grant Fire","640","4","2018"
"Rincon Fire","10","1","2017"
"Lilac Fire","4100","1","2017"
"Haycamp Fire","50","1","2018"
"Sunny Fire","158","1","2016"
"Shelton Fire","303","1","2013"
"Mias Fire","545","1","2017"
"Site Fire","300","1","2015"
"Bradley Fire","54","2","2017"
"Fork Fire","38","1","2016"
"San Mateo Fire","1457","1","2014"
"Western Fire","106","1","2018"
"Boys Fire","40","1","2016"
"River Fire","105","1","2014"
"Market Fire","120","1","2018"
"Plains Fire","42","1","2019"
"Lynette Fire","67","1","2019"
"Ranchera Fire","13","1","2018"
"Coldwell Fire","13","1","2018"
"Neal Fire","35","1","2016"
"Ben Fire","40","1","2018"
"Road Fire","25","1","2017"
"Horno Fire","1850","1","2015"
"Parkfield Fire","1816","3","2017"
"Highway Fire","1522","2","2017"
"Glencove Fire ","140","1","2019"
"Hat Fire","1900","1","2018"
"Ethanac Fire","17","1","2018"
"Etiwanda Fire","2143","1","2014"
"Tomahawk Fire","5367","1","2014"
"Fox Fire (formally 3-7 Fire)","502","1","2013"
"Way Fire","4045","1","2014"
"Kennedy Fire","98","1","2019"
"Madera Fire ","213","1","2019"
"Linne Fire","74","1","2017"
"Frame Fire","145","1","2016"
"Riosa Fire","110","1","2015"
"Reed Fire","92","2","2017"
"4-4 Fire","28","1","2017"
"Mart Fire","670","1","2017"
"Stuhr Fire","600","1","2019"
"PFE Fire","237","1","2013"
"Hill Fire","121","1","2019"
"Deer Fire","10","1","2019"
"Rancho Fire","372","1","2016"
"Lion Fire","18900","1","2017"
"Whitepine Fire","46","1","2017"
"Helena - Fork Fire","21846","1","2017"
"Mayberry Fire ","12","1","2019"
"Jurupa Fire","35","1","2017"
"Campbell Fire","865","1","2014"
"Girasol Fire","30","1","2019"
"Carson Fire","13","1","2019"
"Goose 2 Fire","128","1","2019"
"Saw Fire","85","1","2017"
"Moose Fire","225","1","2019"
"Freeway Fire","40","2","2017"
"Black Fire","403","1","2014"
"Five Fire","156","1","2019"
"River Complex","77081","1","2015"
"Stoney Fire","962","1","2018"
"Watt Fire","27","1","2019"
"Springs Fire","24251","1","2013"
"Merced Fire ","210","1","2019"
"Dunstone Fire","91","1","2016"
"Forebay Fire","275","1","2015"
"Canyon Fire","144","2","2019"
"San Lucas Fire","75","1","2014"
"Volcan Fire","12","1","2018"
"Wasioja Fire","190","1","2017"
"Bailey Fire","10","1","2019"
"Paskenta Fire ","15","1","2017"
"Wildlife Fire","72","1","2014"
"Tejon Fire","208","1","2019"
"Rocky Fire","17","1","2019"
"Evergreen Fire","40","1","2016"
"R-4 Fire","18618","1","2017"
"Pico Fire","128","1","2018"
"Wheeler Fire","115","1","2018"
"Shinn Fire","111","1","2015"
"Del Fire","18","1","2019"
"Nelson Fire","62","1","2014"
"Lone Pine Fire","30","1","2016"
"Oak Fire","85","1","2014"
"Pleasant Fire","2070","1","2018"
"Rye Fire","6049","1","2017"
"Flores Fire","88","1","2016"
"Franklin Fire","40","1","2016"
"3-11 Fire","116","1","2015"
"Curry Fire","2944","1","2016"
"Bridge Fire","300","2","2014"
"Chris Fire","370","1","2017"
"Nurse Fire","1500","1","2018"
"Lambs Fire","10","1","2017"
"Cassel Fire","75","1","2014"
"Lions Fire","4064","1","2018"
"Auburn Fire","47","1","2016"
"City Fire","20","1","2017"
"Ice Fire","29","1","2017"
"Santa Cruz Fire","258","1","2018"
"County Fire","90288","2","2018"
"Aborn Fire","47","1","2019"
"Bruner Fire","50","1","2013"
"Rancho Fire","712","1","2013"
"Sloane Fire","25","1","2017"
"Manzanita Fire","6309","1","2017"
"Lariat Fire","33","1","2018"
"Freedom Fire","57","1","2017"
"Bell Fire","45","1","2016"
"Shedd Fire","150","1","2016"
"Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex)","56556","2","2017"
"Lower Fire","46","1","2019"
"Valley Fire","1350","2","2018"
"Capay Fire","163","1","2013"
"Nuevo Fire","20","1","2019"
"306 Fire","217","1","2013"
"Reservoir Fire","51","1","2018"
"Ione Fire","355","1","2015"
"Shelter Fire","15","1","2016"
"Springs Fire","10","1","2017"
"Willms Fire","19","1","2017"
"Dockery Fire","42","1","2016"
"Junction Fire","612","1","2014"
"Alpha Fire","300","1","2018"
"Cloverdale Fire","27","1","2013"
"Davis Creek Complex","97","1","2013"
"Steele Fire","135","1","2018"
"Coast Fire","14","1","2017"
"Rock Creek Fire","122","1","2016"
"Eastern Fire","513","1","2018"
"Nelson Fire","2162","1","2018"
"Ellie Fire","34","1","2017"
"Redinger Fire","88","1","2018"
"Sherpa Fire","7474","1","2016"
"Keswick Fire","18","1","2015"
"White Fire","52","1","2015"
"Kerlin Fire","1751","1","2018"
"Deer Complex","231","1","2017"
"Pierce Fire","350","1","2014"
"Masonic Fire","38","1","2018"
"Gibbel Fire ","20","1","2019"
"Longhorn Fire","19","1","2017"
"Bailey Fire","100","2","2016"
"Arrow Fire","225","1","2017"
"North Fire","10","1","2017"
"Sobrante Fire ","19","1","2019"
"46 Fire","328","1","2019"
"Lebec Fire","62","1","2018"
"Sugar Fire","65","1","2019"
"Sun Fire","3889","1","2018"
"Sky Fire ","150","1","2019"
"Stagecoach Fire","35","1","2016"
"Park Fire","25","1","2015"
"King Fire ","237","1","2016"
"Cow Fire","100","1","2016"
"Windmill Fire","110","1","2018"
"Olive Fire","72","1","2015"
"Snail Fire","279","1","2019"
"Munjar Fire","104","1","2015"
"Summit Fire","3166","2","2013"
"York Fire","161","1","2019"
"Maria Fire","117","1","2017"
"Maria Fire ","9999","1","2019"
"Marsh Fire","80","1","2014"
"Gilbert Fire","30","1","2019"
"Warner Mountain Lightning","0","1","2017"
"Harrison Fire","80","1","2015"
"Eclipse Fire","200","1","2017"
"Levee Fire","70","1","2019"
"Tule Fire","395","1","2016"
"Military Fire","58","1","2015"
"Bird Fire","147","1","2016"
"Bible Fire","30","1","2014"
"Burris Fire","703","1","2019"
"Francis Fire","30","1","2015"
"Lombardi Fire","15","1","2017"
"Schaeffer Fire","16031","1","2017"
"Day Fire","13153","1","2014"
"July Complex","50042","1","2014"
"San Ardo","375","1","2018"
"Holcomb Fire","1503","1","2017"
"Spenceville Fire","39","1","2017"
"Dode Fire","410","1","2017"
"Oregon Fire","580","1","2014"
"Navajo Fire","10","1","2017"
"Shore Fire","32","2","2017"
"Jacksonville Fire","690","1","2017"
"Canyon Fire","12518","1","2016"
"Electra Fire","10","1","2019"
"Fort Fire","20","1","2017"
"Roadrunner Fire","2289","1","2017"
"Happy Fire","60","1","2018"
"Spider Fire","21","1","2015"
"Country Fire","320","2","2018"
"Lone Fire","298","1","2013"
"Flood Fire ","44","1","2019"
"Buck Fire","13417","1","2017"
"Tivy Fire","76","1","2017"
"Drum Fire","14","1","2017"
"Globe Fire","21","1","2017"
"Triple Fire","430","1","2015"
"Oak Fire","57","3","2016"
"70th Fire","10","1","2018"
"Tobin Fire","248","1","2016"
"Greenstone Fire ","16","1","2019"
"Pressley Fire (Central LNU Complex)","0","1","2017"
"Dorris Fire","24","1","2015"
"Extension Fire","50","1","2017"
"Evans Fire","168","1","2017"
"French Fire","20","1","2018"
"Quimby Fire","54","1","2017"
"Frymire Fire","32","1","2016"
"Nicolls Fire ","1680","1","2014"
"Balch Fire","100","1","2018"
"Radio Fire","20","1","2019"
"Sky Fire","500","2","2015"
"Grizzly Fire","10","1","2017"
"Ink Fire","50","1","2019"
"Coffee Fire","6258","1","2014"
"Lytle Fire","75","1","2013"
"Pallet Fire","10","1","2018"
"Alvarado Fire","15","1","2017"
"Sandy Fire","32","2","2017"
"River Fire","406","1","2013"
"Willow Fire","450","2","2016"
"Queen Fire","158","1","2015"
"Red Fire","333","1","2014"
"Meyers Fire","12","1","2018"
"Fox Fire","59","1","2017"
"Poinsettia Fire","600","1","2014"
"Indian Fire","2295","1","2017"
"152 Fire","124","1","2013"
"Scott Fire","87","1","2016"
"Geary Fire","45","1","2015"
"Modoc July Complex","83120","1","2017"
"Goose Fire","2241","1","2016"
"Dog Bar Fire","247","1","2014"
"El Portal Fire","4689","1","2014"
"Stoll Fire","268","1","2018"
"Elephant Fire","416","1","2017"
"Falls Fire","1383","1","2013"
"Euclid Fire","154","1","2018"
"Benson Fire","29","1","2017"
"Winters Fire","2269","1","2017"
"Banister Fire","29","1","2015"
"Indian Fire","38","1","2013"
"Timm Fire ","81","1","2019"
"Emerald Fire","176","1","2016"
"Corrine Fire","920","1","2015"
"Palisades Fire","42","1","2019"
"Jardin Fire","10","1","2018"
"Red Fire","135","1","2015"
"Jacques Fire","18","1","2018"
"Coleman Fire","2520","1","2016"
"Garage Fire","36","1","2015"
"Santa Fire","14","1","2014"
"Aspen Fire","22992","1","2013"
"Whaleback Fire","18703","1","2018"
"Murphy Fire","100","1","2013"
"McCabe Fire","1333","1","2015"
"Zenon Fire","47","1","2017"
"Summit Fire","21","1","2016"
"Tarina Fire ","1200","1","2017"
"Jones Fire","42","2","2017"
"Berry Fire","995","1","2017"
"Butte Fire","80","1","2013"
"Gibraltar Fire","21","1","2015"
"Willow Fire","5702","1","2015"
"Wheatland Fire","156","1","2016"
"Silverado Fire","968","1","2014"
"Cutca Fire","167","1","2015"
"Tehama Fire","194","1","2017"
"Hills Fire","151","1","2016"
"Banderilla Fire","36","1","2017"
"Holy Fire","23136","1","2018"
"Grant Fire","50","2","2013"
"Diversion Fire","45","1","2019"
"Cedar Fire","72","1","2013"
"Chrome Fire","2290","2","2018"
"Bear Fire","391","1","2017"
"Range Fire","518","1","2016"
"Soup Complex","2652","1","2016"
"Meridian Fire","860","1","2015"
"Star Fire","156","1","2019"
"Moreno Fire","10","1","2017"
"Happy Camp Complex","0","1","2014"
"Beaver Fire","32496","1","2014"
"McCourtney Fire (Wind Complex)","76","1","2017"
"Slinkard Fire","8925","1","2017"
"Mark Fire","114","1","2015"
"Center Fire","40","1","2015"
"Redwood Fire","34","1","2019"
"Moore Fire","88","1","2016"
"Foothill Fire","26","1","2019"
"Lincoln Fire","374","1","2015"
"Westfall Fire","63","1","2017"
"Humboldt Lightning Fires","4883","1","2015"
"West Fire","504","1","2018"
"Fork Fire","166","1","2018"
"Hale Fire","51","1","2018"
"Humboldt Fire","103","1","2017"
"South Napa Earthquake","6","1","2014"
"Lott Fire","10","1","2018"
"Chilcoot Fire","1020","1","2017"
"Sierra Fire","170","2","2018"
"Derrick Fire","1538","1","2017"
"San Felipe Fire","2781","1","2013"
"Dog Rock Fire","311","1","2014"
"Antelope Fire","0","1","2017"
"Long Valley Fire ","2438","1","2019"
"Fay Fire","469","2","2017"
"Raymond Fire","60","1","2018"
"Reche Fire","350","1","2019"
"Palmer Fire","3874","1","2017"
"Tower Fire","12","1","2018"
"Lane Fire","3716","1","2018"
"Leopard Fire","25","1","2014"
"Eagle Fire","75","2","2019"
"Fallon Fire","116","1","2017"
"Little Fire","101","1","2014"
"Wheeler Fire","64","1","2013"
"Lakeland Fire","18","1","2017"
"Orleans Complex","0","1","2013"
"Petersburg Fire","215","1","2018"
"Dale Fire","856","1","2018"
"Horn Fire","88","1","2018"
"Storksbill Fire","50","1","2016"
"Border Fire","7609","1","2016"
"Gold Fire","274","1","2013"
"Bald Hill 3 Fire","210","1","2014"
"Laguna Fire","47","1","2016"
"Olive Fire","150","2","2017"
"Mill Fire","280","1","2019"
"Frog Fire","4863","1","2015"
"Baker Fire","40","1","2013"
"Twisselman Fire","293","1","2018"
"Revis Fire","75","1","2013"
"Corning Fire ","68","1","2019"
"Tree Fire","83","1","2019"
"Ranchita Fire","10","1","2018"
"Camino Fire","58","1","2018"
"Trellis Fire","26","1","2017"
"Tower Fire","150","2","2017"
"Skirball Fire","422","1","2017"
"Willow Fire","52","2","2019"
"McMillan Fire","1764","1","2019"
"Shaver Fire","10","1","2017"
"General Fire","1271","1","2013"
"Llano Fire","10","1","2018"
"Battle Fire","562","1","2017"
"Burney Lightning Series (Warner Fire)","196","1","2013"
"Elk Fire","16","1","2017"
"Blue Fire","20","1","2017"
"Shastina Fire","127","1","2018"
"Point Fire ","29","1","2019"
"Lockwood Fire","42","1","2017"
"Eastman Fire","429","1","2017"
"Border Fire","100","1","2013"
"Chimney Fire","46344","2","2016"
"McCourtney Fire","30","1","2015"
"R-6 Fire","260","1","2019"
"Slides Fire","58","1","2017"
"Freeway Fire ","56","1","2014"
"Cold Fire","5731","1","2016"
"Jacumba Fire","29","1","2014"
"Santos Fire","88","1","2016"
"Little Fire","97","1","2013"
"McMurray Fire","200","1","2019"
"High Fire","170","1","2017"
"Dixie Fire","60","1","2015"
"Country Fire","85","1","2019"
"Wall Fire","6033","1","2017"
"Crane Fire","159","1","2013"
"Adobe Fire","38","1","2018"
"Blocksburg Fire","30","1","2017"
"Montgomery Fire","79","1","2014"
"Cedar Fire","29322","1","2016"
"Vista Fire","86","1","2017"
"Bradley Fire","100","1","2016"
"Marshview Fire","183","1","2019"
"Anchor Fire","76","1","2018"
"Marsh Fire","247","1","2018"
"Champagne Fire","10","1","2017"
"Brewer Fire","120","1","2014"
"Tulloch Fire","85","1","2016"
"Skeleton Fire","200","1","2017"
"Pine Fire","2304","1","2016"
"Valley Fire","90","1","2014"
"Ellis Fire","72","1","2017"
"Tyler Fire","52","1","2013"
"Tornado Fire","70","1","2018"
"Webb Fire","75","1","2015"
"Woolsey Fire","96949","2","2018"
"Estate Fire","55","1","2017"
"Sonoma Fire","400","1","2017"
"American Fire","27440","1","2013"
"Shirleon Fire ","10","1","2017"
"R-1 Fire","3380","2","2019"
"Creek Fire","94","1","2013"
"Panoche Fire","278","2","2018"
"Caliente Fire","448","2","2019"
"Stafford Fire","23","1","2016"
"Anza Fire","543","1","2015"
"Swedes Fire","2462","1","2013"
"70 Fire","20","1","2018"
"Ardo Fire","43","1","2019"
"Brewer Fire","10","1","2017"
"Morgan Fire","20","1","2018"
"Sprig Fire","90","1","2015"
"Cottage Fire","156","1","2019"
"Rolling Fire","184","1","2017"
"Quail Fire","1626","2","2017"
"Preston Fire","21","1","2019"
"Reservoir Fire","215","1","2016"
"Stoney Fire","4840","1","2014"
"Hollow Fire","283","1","2019"
"Bayliss Fire","60","1","2019"
"Boyer Fire","53","1","2018"
"Ribbon Fire","205","1","2018"
"Soledad Fire","10","1","2017"
"Freeman Fire","105","1","2013"
"Bascom Fire","328","1","2018"
"Range Fire","1000","4","2017"
"Erskine Fire","48019","1","2016"
"Toro Fire ","94","1","2019"
"Fort Fire","554","1","2016"
"Dry Fire","143","1","2014"
"McClellan Fire","37","1","2014"
"Fallon Fire","38","1","2013"
"Eastman Fire","289","1","2018"
"Oak Fire","108","1","2015"
"China Fire","17","1","2018"
"Willow Fire","370","1","2017"
"Mill Fire","56","1","2016"
"Mendocino Lightning Fires","50","1","2015"
"Sterling Fire","100","1","2015"
"Mines Fire","35","3","2019"
"Rolling Fire","482","1","2013"
"Inghram Fire","10","1","2019"
"Fox Fire","25","1","2015"
"FKU Lightning Fires","45","1","2015"
"Irene Fire","94","1","2014"
"McCabe Fire","3505","1","2013"
"Butte Fire","300","1","2016"
"Boca Fire","84","1","2014"
"American Fire","526","1","2019"
"Hidden Fire","39","1","2018"
"Hudson Fire","1083","1","2017"
"Bernardo Fire","1548","1","2014"
"Peach Fire ","90","1","2018"
"Chariot Fire","7055","1","2013"
"Briggs Fire","150","1","2018"
"Gorgonio Fire","510","1","2013"
"Viper Fire","42","1","2013"
"DeLuz Fire","2236","1","2013"
"Aliso Fire","175","1","2018"
"Hill Fire","4531","1","2018"
"Spring Fire","50","1","2016"
"Spaletta Fire","35","1","2017"
"Eclipse Complex","78698","1","2017"
"Sullivan Fire","40","1","2015"
"Silver Fire","58","2","2017"
"Hog Fire","14","1","2017"
"Dark Hole Fire","1080","1","2014"
"White Fire","1984","1","2013"
"Corner Fire","17","1","2017"
"Beaumont Fire","11","1","2019"
"Snow Fire","25","1","2015"
"Trinity Fire","90","1","2019"
"Metz Fire","400","1","2018"
"Peg Fire","157","1","2017"
"Cherry Fire","25","1","2013"
"Horseshoe Fire ","520","1","2019"
"Flat Fire","111","1","2017"
"Jacobson Fire","10","1","2016"
"Border 10 Fire","25","2","2019"
"Grand Fire","4346","2","2013"
"Lone Fire","111","1","2017"
"Spring Fire","70","1","2018"
"Largo Fire","236","1","2017"
"Toro Fire","51","1","2013"
"Bodfish Fire","206","1","2017"
"Toll Fire","186","2","2017"
"Twist Fire","124","1","2017"
"Bar Fire","91","1","2019"
"Ridge Fire","87","1","2017"
"Tram Fire","60","1","2013"
"Woodland Fire","13","1","2017"
"Big Fire","188","1","2016"
"Ferguson Fire","96901","1","2018"
"Little Fire","12","1","2019"
"Tehama Fire","225","1","2014"
"Clinton Fire","108","1","2013"
"Kyburz Fire","572","1","2013"
